State,Youth Offender Type,Year,Offences
South Australia,10 Illicit drug offences,2012,892
South Australia,11 Weapons/explosives,2012,136
South Australia,12 Property damage and environmental pollution,2012,460
South Australia,13 Public order offences,2012,667
South Australia,15 Offences against justice(g),2012,53
South Australia,16 Miscellaneous offences,2012,49
South Australia,All offenders,2012,44970
South Australia,Total Youth offenders,2012,4499
Tasmania,01 Homicide and related offences,2012,0
Tasmania,02 Acts intended to cause injury,2012,229
Tasmania,03 Sexual assault and related offences,2012,19
Tasmania,04 Dangerous/negligent acts(e),2012,0
Tasmania,05 Abduction/harassment,2012,3
Tasmania,06 Robbery/extortion,2012,36
Tasmania,07 Unlawful entry with intent,2012,109
Tasmania,08 Theft,2012,361
Tasmania,09 Fraud/deception,2012,21
Tasmania,10 Illicit drug offences,2012,132
Tasmania,11 Weapons/explosives,2012,52
Tasmania,12 Property damage and environmental pollution,2012,157
Tasmania,13 Public order offences,2012,380
Tasmania,15 Offences against justice(g),2012,50
Tasmania,16 Miscellaneous offences,2012,30
Tasmania,All offenders,2012,11462
Tasmania,Total Youth offenders,2012,1576
Victoria,01 Homicide and related offences,2012,3
Victoria,02 Acts intended to cause injury,2012,1874
Victoria,03 Sexual assault and related offences,2012,177
Victoria,04 Dangerous/negligent acts(e),2012,86
Victoria,05 Abduction/harassment,2012,77
Victoria,06 Robbery/extortion,2012,172
Victoria,07 Unlawful entry with intent,2012,724
Victoria,08 Theft,2012,3775
Victoria,09 Fraud/deception,2012,180
Victoria,10 Illicit drug offences,2012,382
Victoria,11 Weapons/explosives,2012,271
Victoria,12 Property damage and environmental pollution,2012,995
Victoria,13 Public order offences,2012,1300
Victoria,15 Offences against justice(g),2012,112
Victoria,16 Miscellaneous offences,2012,1413
Victoria,All offenders,2012,87695
Victoria,Total Youth offenders,2012,11537
Western Australia,01 Homicide and related offences,2012,9
Western Australia,02 Acts intended to cause injury,2012,1163
Western Australia,03 Sexual assault and related offences,2012,151
Western Australia,04 Dangerous/negligent acts(e),2012,18
Western Australia,05 Abduction/harassment,2012,311
Western Australia,06 Robbery/extortion,2012,209
Western Australia,07 Unlawful entry with intent,2012,1150
Western Australia,08 Theft,2012,1807
Western Australia,09 Fraud/deception,2012,123
Western Australia,10 Illicit drug offences,2012,607
Western Australia,11 Weapons/explosives,2012,123
Western Australia,12 Property damage and environmental pollution,2012,771
Western Australia,13 Public order offences,2012,660
Western Australia,15 Offences against justice(g),2012,93
Western Australia,16 Miscellaneous offences,2012,7
Western Australia,All offenders,2012,36625
Western Australia,Total Youth offenders,2012,7214
Australian Capital Territory,01 Homicide and related offences,2013,0
Australian Capital Territory,02 Acts intended to cause injury,2013,65
Australian Capital Territory,03 Sexual assault and related offences,2013,9
Australian Capital Territory,04 Dangerous/negligent acts(e),2013,0
Australian Capital Territory,05 Abduction/harassment,2013,0
Australian Capital Territory,06 Robbery/extortion,2013,17
Australian Capital Territory,07 Unlawful entry with intent,2013,17
Australian Capital Territory,08 Theft,2013,120
Australian Capital Territory,09 Fraud/deception,2013,10
Australian Capital Territory,10 Illicit drug offences,2013,40
Australian Capital Territory,11 Weapons/explosives,2013,17
Australian Capital Territory,12 Property damage and environmental pollution,2013,43
Australian Capital Territory,13 Public order offences,2013,91
Australian Capital Territory,15 Offences against justice(g),2013,9
Australian Capital Territory,16 Miscellaneous offences,2013,0
Australian Capital Territory,All offenders,2013,3069
Australian Capital Territory,Total Youth offenders,2013,449
New South Wales,01 Homicide and related offences,2013,10
New South Wales,02 Acts intended to cause injury,2013,3153
New South Wales,03 Sexual assault and related offences,2013,225
New South Wales,04 Dangerous/negligent acts(e),2013,94
New South Wales,05 Abduction/harassment,2013,109
New South Wales,06 Robbery/extortion,2013,340
New South Wales,07 Unlawful entry with intent,2013,745
New South Wales,08 Theft,2013,2586
New South Wales,09 Fraud/deception,2013,446
New South Wales,10 Illicit drug offences,2013,972
New South Wales,11 Weapons/explosives,2013,106
New South Wales,12 Property damage and environmental pollution,2013,986
New South Wales,13 Public order offences,2013,1956
New South Wales,15 Offences against justice(g),2013,497
New South Wales,16 Miscellaneous offences,2013,181
New South Wales,All offenders,2013,120526
New South Wales,Total Youth offenders,2013,18450
Northern Territory,01 Homicide and related offences,2013,0
Northern Territory,02 Acts intended to cause injury,2013,186
Northern Territory,03 Sexual assault and related offences,2013,20
Northern Territory,04 Dangerous/negligent acts(e),2013,12
Northern Territory,05 Abduction/harassment,2013,9
Northern Territory,06 Robbery/extortion,2013,34
Northern Territory,07 Unlawful entry with intent,2013,248
Northern Territory,08 Theft,2013,75
Northern Territory,09 Fraud/deception,2013,4
Northern Territory,10 Illicit drug offences,2013,12
Northern Territory,11 Weapons/explosives,2013,30
Northern Territory,12 Property damage and environmental pollution,2013,35
Northern Territory,13 Public order offences,2013,73
Northern Territory,15 Offences against justice(g),2013,13
Northern Territory,16 Miscellaneous offences,2013,0
Northern Territory,All offenders,2013,12114
Northern Territory,Total Youth offenders,2013,759
Queensland,01 Homicide and related offences,2013,4
Queensland,02 Acts intended to cause injury,2013,1637
Queensland,03 Sexual assault and related offences,2013,725
Queensland,04 Dangerous/negligent acts(e),2013,114
Queensland,05 Abduction/harassment,2013,4
Queensland,06 Robbery/extortion,2013,212
Queensland,07 Unlawful entry with intent,2013,1666
Queensland,08 Theft,2013,2750
Queensland,09 Fraud/deception,2013,168
Queensland,10 Illicit drug offences,2013,2301
Queensland,11 Weapons/explosives,2013,231
Queensland,12 Property damage and environmental pollution,2013,940
Queensland,13 Public order offences,2013,1413
Queensland,15 Offences against justice(g),2013,197
Queensland,16 Miscellaneous offences,2013,0
Queensland,All offenders,2013,95038
Queensland,Total Youth offenders,2013,12811
South Australia,01 Homicide and related offences,2013,0
South Australia,02 Acts intended to cause injury,2013,644
South Australia,03 Sexual assault and related offences,2013,176
South Australia,04 Dangerous/negligent acts(e),2013,26
South Australia,05 Abduction/harassment,2013,31
South Australia,06 Robbery/extortion,2013,97
South Australia,07 Unlawful entry with intent,2013,187
South Australia,08 Theft,2013,1161
South Australia,09 Fraud/deception,2013,14
South Australia,10 Illicit drug offences,2013,874
South Australia,11 Weapons/explosives,2013,130
South Australia,12 Property damage and environmental pollution,2013,286
South Australia,13 Public order offences,2013,624
South Australia,15 Offences against justice(g),2013,49
South Australia,16 Miscellaneous offences,2013,46
South Australia,All offenders,2013,49630
South Australia,Total Youth offenders,2013,4352
Tasmania,01 Homicide and related offences,2013,0
Tasmania,02 Acts intended to cause injury,2013,231
Tasmania,03 Sexual assault and related offences,2013,17
Tasmania,04 Dangerous/negligent acts(e),2013,0
Tasmania,05 Abduction/harassment,2013,4
Tasmania,06 Robbery/extortion,2013,11
Tasmania,07 Unlawful entry with intent,2013,100
Tasmania,08 Theft,2013,297
Tasmania,09 Fraud/deception,2013,11
Tasmania,10 Illicit drug offences,2013,138
Tasmania,11 Weapons/explosives,2013,40
Tasmania,12 Property damage and environmental pollution,2013,134
Tasmania,13 Public order offences,2013,297
Tasmania,15 Offences against justice(g),2013,20
Tasmania,16 Miscellaneous offences,2013,36
Tasmania,All offenders,2013,10455
Tasmania,Total Youth offenders,2013,1344
Victoria,01 Homicide and related offences,2013,0
Victoria,02 Acts intended to cause injury,2013,1769
Victoria,03 Sexual assault and related offences,2013,197
Victoria,04 Dangerous/negligent acts(e),2013,85
Victoria,05 Abduction/harassment,2013,98
Victoria,06 Robbery/extortion,2013,147
Victoria,07 Unlawful entry with intent,2013,687
Victoria,08 Theft,2013,2819
Victoria,09 Fraud/deception,2013,167
Victoria,10 Illicit drug offences,2013,435
Victoria,11 Weapons/explosives,2013,231
Victoria,12 Property damage and environmental pollution,2013,905
Victoria,13 Public order offences,2013,1018
Victoria,15 Offences against justice(g),2013,92
Victoria,16 Miscellaneous offences,2013,1126
Victoria,All offenders,2013,83106
Victoria,Total Youth offenders,2013,9775
Western Australia,01 Homicide and related offences,2013,8
Western Australia,02 Acts intended to cause injury,2013,983
Western Australia,03 Sexual assault and related offences,2013,173
Western Australia,04 Dangerous/negligent acts(e),2013,10
Western Australia,05 Abduction/harassment,2013,271
Western Australia,06 Robbery/extortion,2013,189
Western Australia,07 Unlawful entry with intent,2013,1230
Western Australia,08 Theft,2013,1280
Western Australia,09 Fraud/deception,2013,159
Western Australia,10 Illicit drug offences,2013,771
Western Australia,11 Weapons/explosives,2013,108
Western Australia,12 Property damage and environmental pollution,2013,600
Western Australia,13 Public order offences,2013,554
Western Australia,15 Offences against justice(g),2013,89
Western Australia,16 Miscellaneous offences,2013,27
Western Australia,All offenders,2013,35954
Western Australia,Total Youth offenders,2013,6469
Australian Capital Territory,01 Homicide and related offences,2014,0
Australian Capital Territory,02 Acts intended to cause injury,2014,38
Australian Capital Territory,03 Sexual assault and related offences,2014,9
Australian Capital Territory,04 Dangerous/negligent acts(e),2014,0
Australian Capital Territory,05 Abduction/harassment,2014,3
Australian Capital Territory,06 Robbery/extortion,2014,3
Australian Capital Territory,07 Unlawful entry with intent,2014,25
Australian Capital Territory,08 Theft,2014,72
Australian Capital Territory,09 Fraud/deception,2014,10
Australian Capital Territory,10 Illicit drug offences,2014,60
Australian Capital Territory,11 Weapons/explosives,2014,21
Australian Capital Territory,12 Property damage and environmental pollution,2014,40
Australian Capital Territory,13 Public order offences,2014,64
Australian Capital Territory,15 Offences against justice(g),2014,3
Australian Capital Territory,16 Miscellaneous offences,2014,0
Australian Capital Territory,All offenders,2014,2742
Australian Capital Territory,Total Youth offenders,2014,355
New South Wales,01 Homicide and related offences,2014,11
New South Wales,02 Acts intended to cause injury,2014,2991
New South Wales,03 Sexual assault and related offences,2014,238
New South Wales,04 Dangerous/negligent acts(e),2014,102
New South Wales,05 Abduction/harassment,2014,138
New South Wales,06 Robbery/extortion,2014,333
New South Wales,07 Unlawful entry with intent,2014,685
New South Wales,08 Theft,2014,2150
New South Wales,09 Fraud/deception,2014,554
New South Wales,10 Illicit drug offences,2014,993
New South Wales,11 Weapons/explosives,2014,93
New South Wales,12 Property damage and environmental pollution,2014,887
New South Wales,13 Public order offences,2014,1935
New South Wales,15 Offences against justice(g),2014,353
New South Wales,16 Miscellaneous offences,2014,150
New South Wales,All offenders,2014,124492
New South Wales,Total Youth offenders,2014,19764
Northern Territory,01 Homicide and related offences,2014,3
Northern Territory,02 Acts intended to cause injury,2014,193
Northern Territory,03 Sexual assault and related offences,2014,29
Northern Territory,04 Dangerous/negligent acts(e),2014,8
Northern Territory,05 Abduction/harassment,2014,8
Northern Territory,06 Robbery/extortion,2014,16
Northern Territory,07 Unlawful entry with intent,2014,288
Northern Territory,08 Theft,2014,74
Northern Territory,09 Fraud/deception,2014,4
Northern Territory,10 Illicit drug offences,2014,17
Northern Territory,11 Weapons/explosives,2014,21
Northern Territory,12 Property damage and environmental pollution,2014,35
Northern Territory,13 Public order offences,2014,50
Northern Territory,15 Offences against justice(g),2014,13
Northern Territory,16 Miscellaneous offences,2014,0
Northern Territory,All offenders,2014,11774
Northern Territory,Total Youth offenders,2014,776
Queensland,01 Homicide and related offences,2014,3
Queensland,02 Acts intended to cause injury,2014,1632
Queensland,03 Sexual assault and related offences,2014,832
Queensland,04 Dangerous/negligent acts(e),2014,123
Queensland,05 Abduction/harassment,2014,5
Queensland,06 Robbery/extortion,2014,218
Queensland,07 Unlawful entry with intent,2014,1444
Queensland,08 Theft,2014,2696
Queensland,09 Fraud/deception,2014,209
Queensland,10 Illicit drug offences,2014,2668
Queensland,11 Weapons/explosives,2014,231
Queensland,12 Property damage and environmental pollution,2014,928
Queensland,13 Public order offences,2014,1212
Queensland,15 Offences against justice(g),2014,183
Queensland,16 Miscellaneous offences,2014,0
Queensland,All offenders,2014,97011
Queensland,Total Youth offenders,2014,12764
South Australia,01 Homicide and related offences,2014,0
South Australia,02 Acts intended to cause injury,2014,622
South Australia,03 Sexual assault and related offences,2014,228
South Australia,04 Dangerous/negligent acts(e),2014,17
South Australia,05 Abduction/harassment,2014,26
South Australia,06 Robbery/extortion,2014,61
South Australia,07 Unlawful entry with intent,2014,173
South Australia,08 Theft,2014,518
South Australia,09 Fraud/deception,2014,24
South Australia,10 Illicit drug offences,2014,897
South Australia,11 Weapons/explosives,2014,120
South Australia,12 Property damage and environmental pollution,2014,292
South Australia,13 Public order offences,2014,544
South Australia,15 Offences against justice(g),2014,40
South Australia,16 Miscellaneous offences,2014,41
South Australia,All offenders,2014,47451
South Australia,Total Youth offenders,2014,4249
Tasmania,01 Homicide and related offences,2014,0
Tasmania,02 Acts intended to cause injury,2014,187
Tasmania,03 Sexual assault and related offences,2014,8
Tasmania,04 Dangerous/negligent acts(e),2014,0
Tasmania,05 Abduction/harassment,2014,0
Tasmania,06 Robbery/extortion,2014,16
Tasmania,07 Unlawful entry with intent,2014,106
Tasmania,08 Theft,2014,245
Tasmania,09 Fraud/deception,2014,14
Tasmania,10 Illicit drug offences,2014,131
Tasmania,11 Weapons/explosives,2014,38
Tasmania,12 Property damage and environmental pollution,2014,102
Tasmania,13 Public order offences,2014,238
Tasmania,15 Offences against justice(g),2014,26
Tasmania,16 Miscellaneous offences,2014,53
Tasmania,All offenders,2014,10793
Tasmania,Total Youth offenders,2014,1175
Victoria,01 Homicide and related offences,2014,3
Victoria,02 Acts intended to cause injury,2014,1667
Victoria,03 Sexual assault and related offences,2014,184
Victoria,04 Dangerous/negligent acts(e),2014,83
Victoria,05 Abduction/harassment,2014,98
Victoria,06 Robbery/extortion,2014,147
Victoria,07 Unlawful entry with intent,2014,585
Victoria,08 Theft,2014,1922
Victoria,09 Fraud/deception,2014,122
Victoria,10 Illicit drug offences,2014,441
Victoria,11 Weapons/explosives,2014,268
Victoria,12 Property damage and environmental pollution,2014,796
Victoria,13 Public order offences,2014,769
Victoria,15 Offences against justice(g),2014,101
Victoria,16 Miscellaneous offences,2014,1045
Victoria,All offenders,2014,80933
Victoria,Total Youth offenders,2014,8974
Western Australia,01 Homicide and related offences,2014,5
Western Australia,02 Acts intended to cause injury,2014,1015
Western Australia,03 Sexual assault and related offences,2014,177
Western Australia,04 Dangerous/negligent acts(e),2014,15
Western Australia,05 Abduction/harassment,2014,278
Western Australia,06 Robbery/extortion,2014,149
Western Australia,07 Unlawful entry with intent,2014,1138
Western Australia,08 Theft,2014,1292
Western Australia,09 Fraud/deception,2014,145
Western Australia,10 Illicit drug offences,2014,802
Western Australia,11 Weapons/explosives,2014,97
Western Australia,12 Property damage and environmental pollution,2014,609
Western Australia,13 Public order offences,2014,492
Western Australia,15 Offences against justice(g),2014,87
Western Australia,16 Miscellaneous offences,2014,55
Western Australia,All offenders,2014,38578
Western Australia,Total Youth offenders,2014,6357
Australian Capital Territory,01 Homicide and related offences,2015,0
Australian Capital Territory,02 Acts intended to cause injury,2015,71
Australian Capital Territory,03 Sexual assault and related offences,2015,17
Australian Capital Territory,04 Dangerous/negligent acts(e),2015,0
Australian Capital Territory,05 Abduction/harassment,2015,0
Australian Capital Territory,06 Robbery/extortion,2015,8
Australian Capital Territory,07 Unlawful entry with intent,2015,21
Australian Capital Territory,08 Theft,2015,84
Australian Capital Territory,09 Fraud/deception,2015,4
Australian Capital Territory,10 Illicit drug offences,2015,70
Australian Capital Territory,11 Weapons/explosives,2015,23
Australian Capital Territory,12 Property damage and environmental pollution,2015,48
Australian Capital Territory,13 Public order offences,2015,57
Australian Capital Territory,15 Offences against justice(g),2015,6
Australian Capital Territory,16 Miscellaneous offences,2015,3
Australian Capital Territory,All offenders,2015,2864
Australian Capital Territory,Total Youth offenders,2015,412
New South Wales,01 Homicide and related offences,2015,5
New South Wales,02 Acts intended to cause injury,2015,2951
New South Wales,03 Sexual assault and related offences,2015,285
New South Wales,04 Dangerous/negligent acts(e),2015,131
New South Wales,05 Abduction/harassment,2015,143
New South Wales,06 Robbery/extortion,2015,260
New South Wales,07 Unlawful entry with intent,2015,704
New South Wales,08 Theft,2015,2237
New South Wales,09 Fraud/deception,2015,481
New South Wales,10 Illicit drug offences,2015,1005
New South Wales,11 Weapons/explosives,2015,127
New South Wales,12 Property damage and environmental pollution,2015,867
New South Wales,13 Public order offences,2015,2278
New South Wales,15 Offences against justice(g),2015,378
New South Wales,16 Miscellaneous offences,2015,160
New South Wales,All offenders,2015,128397
New South Wales,Total Youth offenders,2015,20051
Northern Territory,01 Homicide and related offences,2015,0
Northern Territory,02 Acts intended to cause injury,2015,242
Northern Territory,03 Sexual assault and related offences,2015,19
Northern Territory,04 Dangerous/negligent acts(e),2015,19
Northern Territory,05 Abduction/harassment,2015,13
Northern Territory,06 Robbery/extortion,2015,24
Northern Territory,07 Unlawful entry with intent,2015,303
Northern Territory,08 Theft,2015,96
Northern Territory,09 Fraud/deception,2015,4
Northern Territory,10 Illicit drug offences,2015,10
Northern Territory,11 Weapons/explosives,2015,29
Northern Territory,12 Property damage and environmental pollution,2015,39
Northern Territory,13 Public order offences,2015,56
Northern Territory,15 Offences against justice(g),2015,15
Northern Territory,16 Miscellaneous offences,2015,0
Northern Territory,All offenders,2015,12053
Northern Territory,Total Youth offenders,2015,876
Queensland,01 Homicide and related offences,2015,3
Queensland,02 Acts intended to cause injury,2015,1625
Queensland,03 Sexual assault and related offences,2015,787
Queensland,04 Dangerous/negligent acts(e),2015,113
Queensland,05 Abduction/harassment,2015,5
Queensland,06 Robbery/extortion,2015,240
Queensland,07 Unlawful entry with intent,2015,1661
Queensland,08 Theft,2015,2658
Queensland,09 Fraud/deception,2015,158
Queensland,10 Illicit drug offences,2015,2542
Queensland,11 Weapons/explosives,2015,217
Queensland,12 Property damage and environmental pollution,2015,875
Queensland,13 Public order offences,2015,1197
Queensland,15 Offences against justice(g),2015,169
Queensland,16 Miscellaneous offences,2015,7
Queensland,All offenders,2015,97462
Queensland,Total Youth offenders,2015,12727
South Australia,01 Homicide and related offences,2015,0
South Australia,02 Acts intended to cause injury,2015,651
South Australia,03 Sexual assault and related offences,2015,174
South Australia,04 Dangerous/negligent acts(e),2015,14
South Australia,05 Abduction/harassment,2015,27
South Australia,06 Robbery/extortion,2015,70
South Australia,07 Unlawful entry with intent,2015,150
South Australia,08 Theft,2015,573
South Australia,09 Fraud/deception,2015,12
South Australia,10 Illicit drug offences,2015,820
South Australia,11 Weapons/explosives,2015,106
South Australia,12 Property damage and environmental pollution,2015,268
South Australia,13 Public order offences,2015,462
South Australia,15 Offences against justice(g),2015,47
South Australia,16 Miscellaneous offences,2015,26
South Australia,All offenders,2015,49705
South Australia,Total Youth offenders,2015,4402
Tasmania,01 Homicide and related offences,2015,0
Tasmania,02 Acts intended to cause injury,2015,192
Tasmania,03 Sexual assault and related offences,2015,7
Tasmania,04 Dangerous/negligent acts(e),2015,0
Tasmania,05 Abduction/harassment,2015,3
Tasmania,06 Robbery/extortion,2015,16
Tasmania,07 Unlawful entry with intent,2015,77
Tasmania,08 Theft,2015,206
Tasmania,09 Fraud/deception,2015,13
Tasmania,10 Illicit drug offences,2015,147
Tasmania,11 Weapons/explosives,2015,44
Tasmania,12 Property damage and environmental pollution,2015,100
Tasmania,13 Public order offences,2015,240
Tasmania,15 Offences against justice(g),2015,28
Tasmania,16 Miscellaneous offences,2015,35
Tasmania,All offenders,2015,10198
Tasmania,Total Youth offenders,2015,1117
Victoria,01 Homicide and related offences,2015,10
Victoria,02 Acts intended to cause injury,2015,1710
Victoria,03 Sexual assault and related offences,2015,191
Victoria,04 Dangerous/negligent acts(e),2015,68
Victoria,05 Abduction/harassment,2015,74
Victoria,06 Robbery/extortion,2015,154
Victoria,07 Unlawful entry with intent,2015,526
Victoria,08 Theft,2015,1719
Victoria,09 Fraud/deception,2015,137
Victoria,10 Illicit drug offences,2015,393
Victoria,11 Weapons/explosives,2015,261
Victoria,12 Property damage and environmental pollution,2015,842
Victoria,13 Public order offences,2015,761
Victoria,15 Offences against justice(g),2015,95
Victoria,16 Miscellaneous offences,2015,1023
Victoria,All offenders,2015,77770
Victoria,Total Youth offenders,2015,8726
Western Australia,01 Homicide and related offences,2015,8
Western Australia,02 Acts intended to cause injury,2015,1053
Western Australia,03 Sexual assault and related offences,2015,189
Western Australia,04 Dangerous/negligent acts(e),2015,23
Western Australia,05 Abduction/harassment,2015,270
Western Australia,06 Robbery/extortion,2015,137
Western Australia,07 Unlawful entry with intent,2015,1100
Western Australia,08 Theft,2015,1463
Western Australia,09 Fraud/deception,2015,127
Western Australia,10 Illicit drug offences,2015,824
Western Australia,11 Weapons/explosives,2015,121
Western Australia,12 Property damage and environmental pollution,2015,574
Western Australia,13 Public order offences,2015,465
Western Australia,15 Offences against justice(g),2015,105
Western Australia,16 Miscellaneous offences,2015,19
Western Australia,All offenders,2015,39900
Western Australia,Total Youth offenders,2015,6466
Australian Capital Territory,01 Homicide and related offences,2016,0
Australian Capital Territory,02 Acts intended to cause injury,2016,69
Australian Capital Territory,03 Sexual assault and related offences,2016,4
Australian Capital Territory,04 Dangerous/negligent acts(e),2016,0
Australian Capital Territory,05 Abduction/harassment,2016,9
Australian Capital Territory,06 Robbery/extortion,2016,23
Australian Capital Territory,07 Unlawful entry with intent,2016,3
Australian Capital Territory,08 Theft,2016,59
Australian Capital Territory,09 Fraud/deception,2016,0
Australian Capital Territory,10 Illicit drug offences,2016,35
Australian Capital Territory,11 Weapons/explosives,2016,21
Australian Capital Territory,12 Property damage and environmental pollution,2016,39
Australian Capital Territory,13 Public order offences,2016,49
Australian Capital Territory,15 Offences against justice(g),2016,4
Australian Capital Territory,16 Miscellaneous offences,2016,0
Australian Capital Territory,All offenders,2016,2762
Australian Capital Territory,Total Youth offenders,2016,319
New South Wales,01 Homicide and related offences,2016,12
New South Wales,02 Acts intended to cause injury,2016,2927
New South Wales,03 Sexual assault and related offences,2016,280
New South Wales,04 Dangerous/negligent acts(e),2016,147
New South Wales,05 Abduction/harassment,2016,150
New South Wales,06 Robbery/extortion,2016,236
New South Wales,07 Unlawful entry with intent,2016,592
New South Wales,08 Theft,2016,2249
New South Wales,09 Fraud/deception,2016,373
New South Wales,10 Illicit drug offences,2016,1045
New South Wales,11 Weapons/explosives,2016,103
New South Wales,12 Property damage and environmental pollution,2016,786
New South Wales,13 Public order offences,2016,2156
New South Wales,15 Offences against justice(g),2016,232
New South Wales,16 Miscellaneous offences,2016,178
New South Wales,All offenders,2016,128777
New South Wales,Total Youth offenders,2016,20054
Northern Territory,01 Homicide and related offences,2016,0
Northern Territory,02 Acts intended to cause injury,2016,192
Northern Territory,03 Sexual assault and related offences,2016,15
Northern Territory,04 Dangerous/negligent acts(e),2016,13
Northern Territory,05 Abduction/harassment,2016,7
Northern Territory,06 Robbery/extortion,2016,39
Northern Territory,07 Unlawful entry with intent,2016,275
Northern Territory,08 Theft,2016,58
Northern Territory,09 Fraud/deception,2016,0
Northern Territory,10 Illicit drug offences,2016,17
Northern Territory,11 Weapons/explosives,2016,22
Northern Territory,12 Property damage and environmental pollution,2016,28
Northern Territory,13 Public order offences,2016,56
Northern Territory,15 Offences against justice(g),2016,8
Northern Territory,16 Miscellaneous offences,2016,3
Northern Territory,All offenders,2016,11851
Northern Territory,Total Youth offenders,2016,746
Queensland,01 Homicide and related offences,2016,8
Queensland,02 Acts intended to cause injury,2016,1792
Queensland,03 Sexual assault and related offences,2016,648
Queensland,04 Dangerous/negligent acts(e),2016,125
Queensland,05 Abduction/harassment,2016,3
Queensland,06 Robbery/extortion,2016,301
Queensland,07 Unlawful entry with intent,2016,1756
Queensland,08 Theft,2016,2505
Queensland,09 Fraud/deception,2016,210
Queensland,10 Illicit drug offences,2016,2430
Queensland,11 Weapons/explosives,2016,211
Queensland,12 Property damage and environmental pollution,2016,870
Queensland,13 Public order offences,2016,1148
Queensland,15 Offences against justice(g),2016,149
Queensland,16 Miscellaneous offences,2016,14
Queensland,All offenders,2016,93237
Queensland,Total Youth offenders,2016,12598
South Australia,01 Homicide and related offences,2016,3
South Australia,02 Acts intended to cause injury,2016,583
South Australia,03 Sexual assault and related offences,2016,168
South Australia,04 Dangerous/negligent acts(e),2016,19
South Australia,05 Abduction/harassment,2016,21
South Australia,06 Robbery/extortion,2016,52
South Australia,07 Unlawful entry with intent,2016,231
South Australia,08 Theft,2016,544
South Australia,09 Fraud/deception,2016,12
South Australia,10 Illicit drug offences,2016,810
South Australia,11 Weapons/explosives,2016,112
South Australia,12 Property damage and environmental pollution,2016,233
South Australia,13 Public order offences,2016,474
South Australia,15 Offences against justice(g),2016,25
South Australia,16 Miscellaneous offences,2016,40
South Australia,All offenders,2016,49316
South Australia,Total Youth offenders,2016,4440
Tasmania,01 Homicide and related offences,2016,0
Tasmania,02 Acts intended to cause injury,2016,214
Tasmania,03 Sexual assault and related offences,2016,17
Tasmania,04 Dangerous/negligent acts(e),2016,0
Tasmania,05 Abduction/harassment,2016,5
Tasmania,06 Robbery/extortion,2016,16
Tasmania,07 Unlawful entry with intent,2016,63
Tasmania,08 Theft,2016,189
Tasmania,09 Fraud/deception,2016,9
Tasmania,10 Illicit drug offences,2016,144
Tasmania,11 Weapons/explosives,2016,28
Tasmania,12 Property damage and environmental pollution,2016,99
Tasmania,13 Public order offences,2016,183
Tasmania,15 Offences against justice(g),2016,29
Tasmania,16 Miscellaneous offences,2016,23
Tasmania,All offenders,2016,10414
Tasmania,Total Youth offenders,2016,1034
Victoria,01 Homicide and related offences,2016,3
Victoria,02 Acts intended to cause injury,2016,1800
Victoria,03 Sexual assault and related offences,2016,189
Victoria,04 Dangerous/negligent acts(e),2016,92
Victoria,05 Abduction/harassment,2016,107
Victoria,06 Robbery/extortion,2016,200
Victoria,07 Unlawful entry with intent,2016,516
Victoria,08 Theft,2016,1776
Victoria,09 Fraud/deception,2016,122
Victoria,10 Illicit drug offences,2016,442
Victoria,11 Weapons/explosives,2016,295
Victoria,12 Property damage and environmental pollution,2016,751
Victoria,13 Public order offences,2016,642
Victoria,15 Offences against justice(g),2016,76
Victoria,16 Miscellaneous offences,2016,733
Victoria,All offenders,2016,75860
Victoria,Total Youth offenders,2016,8280
Western Australia,01 Homicide and related offences,2016,0
Western Australia,02 Acts intended to cause injury,2016,1204
Western Australia,03 Sexual assault and related offences,2016,168
Western Australia,04 Dangerous/negligent acts(e),2016,11
Western Australia,05 Abduction/harassment,2016,254
Western Australia,06 Robbery/extortion,2016,154
Western Australia,07 Unlawful entry with intent,2016,1112
Western Australia,08 Theft,2016,1349
Western Australia,09 Fraud/deception,2016,123
Western Australia,10 Illicit drug offences,2016,834
Western Australia,11 Weapons/explosives,2016,121
Western Australia,12 Property damage and environmental pollution,2016,567
Western Australia,13 Public order offences,2016,574
Western Australia,15 Offences against justice(g),2016,87
Western Australia,16 Miscellaneous offences,2016,35
Western Australia,All offenders,2016,41678
Western Australia,Total Youth offenders,2016,6593
Australian Capital Territory,01 Homicide and related offences,2017,0
Australian Capital Territory,02 Acts intended to cause injury,2017,94
Australian Capital Territory,03 Sexual assault and related offences,2017,6
Australian Capital Territory,04 Dangerous/negligent acts(e),2017,0
Australian Capital Territory,05 Abduction/harassment,2017,3
Australian Capital Territory,06 Robbery/extortion,2017,9
Australian Capital Territory,07 Unlawful entry with intent,2017,17
Australian Capital Territory,08 Theft,2017,50
Australian Capital Territory,09 Fraud/deception,2017,7
Australian Capital Territory,10 Illicit drug offences,2017,46
Australian Capital Territory,11 Weapons/explosives,2017,20
Australian Capital Territory,12 Property damage and environmental pollution,2017,21
Australian Capital Territory,13 Public order offences,2017,51
Australian Capital Territory,15 Offences against justice(g),2017,0
Australian Capital Territory,16 Miscellaneous offences,2017,0
Australian Capital Territory,All offenders,2017,2725
Australian Capital Territory,Total Youth offenders,2017,321
New South Wales,01 Homicide and related offences,2017,4
New South Wales,02 Acts intended to cause injury,2017,3205
New South Wales,03 Sexual assault and related offences,2017,279
New South Wales,04 Dangerous/negligent acts(e),2017,40
